DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
LA GUADALUPE RESTAURANT,179,EAST 115 STREET,Manhattan,10029,179 east 115 STREET Manhattan 10029,"179 east 115th street manhattan, ny 10029",Mexican,8/4/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,8/4/22,12/4/23,40.7975424,-73.941168
CHIPOTLE MEXICAN GRILL #3641uy;,350,5 AVENUE,Manhattan,10118,350 5 avenue Manhattan 10118,"350 5th avenue manhattan, ny  10118",Mexican,4/7/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A,4/7/23,12/4/23,40.7482689,-73.98469
FACTORY TAMAL,34,LUDLOW STREET,Manhattan,10002,34 LUDLOW STREET Manhattan 10002,"34 ludlow street manhattan, ny 10002",Mexican,6/6/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,8,A,6/6/23,12/4/23,40.7159389,-73.990469
EL PATIO MEXICANO RESTAURANT,3764,BROADWAY,Manhattan,10032,3764 BROADWAY Manhattan 10032,"3764 broadway manhattan, ny 10032",Mexican,4/30/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10,A,4/30/23,12/4/23,40.8337174,-73.945115
BLUE AGAVE,11,DOYERS STREET,Manhattan,10013,11 DOYERS STREET Manhattan 10013,"11 doyers street manhattan, ny 10013",Mexican,11/16/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,11/16/22,12/4/23,40.7144956,-73.998128
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,3/8/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,27,B,3/8/23,12/4/23,40.7180304,-73.989971
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,2/3/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,2/3/22,12/4/23,40.7711957,-73.983328
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55th street manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
EL COCO,202,8 AVENUE,Manhattan,10011,202 8 avenue Manhattan 10011,"202 8th avenue manhattan, ny 10011",Mexican,5/25/22,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9,A,5/25/22,12/4/23,40.7436038,-73.999697
EL KALLEJON BOTANAS,209,EAST 117 STREET,Manhattan,10035,209 east 117 STREET Manhattan 10035,"209 east 117th street manhattan, ny 10035",Mexican,7/5/22,Violations were cited in the following area(s).,18-11,Food Protection Certificate not available for inspection,Not Critical,13,A,7/5/22,12/4/23,40.7984306,-73.939051
TACUBA,802,9 AVENUE,Manhattan,10019,802 9 avenue Manhattan 10019,"802 9th avenue manhattan, ny 10019",Mexican,6/14/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,6/14/23,12/4/23,40.7654954,-73.987466
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55th street manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry is worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
SAN LOCO,111,STANTON STREET,Manhattan,10002,111 STANTON STREET Manhattan 10002,"111 stanton street manhattan, ny 10002",Mexican,2/23/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2/23/23,12/4/23,40.7210933,-73.987366
MAD DOG & BEANS MEXICAN CANTINA,5,EAST 38 STREET,Manhattan,10016,5 east 38 STREET Manhattan 10016,"5 east 38th street manhattan, ny 10016",Mexican,9/14/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,0,A,9/14/22,12/4/23,40.7507388,-73.982199
CHIPOTLE MEXICAN GRILL#2964,601,8 AVENUE,Manhattan,10018,601 8 avenue Manhattan 10018,"601 8th avenue manhattan, ny 10018",Mexican,4/27/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,4/27/22,12/4/23,40.7555075,-73.991056
TAQUERIA ST MARKS PL,79,SAINT MARKS PLACE,Manhattan,10003,79 SAINT MARKS PLACE Manhattan 10003,"79 saint marks place manhattan, ny 10003",Mexican,11/15/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,11/15/22,12/4/23,40.7278068,-73.985792
BAR TULIX,25,WEST HOUSTON STREET,Manhattan,10012,25 WEST HOUSTON STREET Manhattan 10012,"25 west houston street manhattan, ny 10012",Mexican,1/24/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,19,B,1/24/23,12/4/23,40.7259248,-73.997904
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,3/7/23,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,11,A,3/7/23,12/4/23,40.7186919,-74.010408
DOS TOROS,2911,BROADWAY,Manhattan,10025,2911 BROADWAY Manhattan 10025,"2911 broadway manhattan, ny 10025",Mexican,7/19/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,7/19/23,12/4/23,40.8064452,-73.965048
GREAT BURRITO RESTAURANT,100,WEST 23 STREET,Manhattan,10011,100 WEST 23 STREET Manhattan 10011,"100 west 23rd street manhattan, ny 10011",Mexican,10/13/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10,A,10/13/22,12/4/23,40.7430739,-73.993237
HAPPY BURRITO,211,EAST 14 STREET,Manhattan,10003,211 east 14 STREET Manhattan 10003,211 east 14th street manhattan 10003,Mexican,10/20/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,10/20/22,12/4/23,40.7330851,-73.986678
MADE IN MEXICO,3950,10 AVENUE,Manhattan,10034,3950 10 avenue Manhattan 10034,"3950 10th avenue manhattan, ny 10034",Mexican,3/10/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,3/10/22,12/4/23,40.8671176,-73.916983
TULCINGO DEL VALLE,665,10 AVENUE,Manhattan,10036,665 10 avenue Manhattan 10036,"665 10th avenue manhattan, ny 10036",Mexican,2/8/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,2/8/22,12/4/23,40.7626742,-73.993268
EL TORO MEXICAN GRILL,69,NEW STREET,Manhattan,10004,69 NEW STREET Manhattan 10004,"69 new street manhattan, ny 10004",Mexican,3/24/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/24/22,12/4/23,40.7055003,-74.012396
ANEJO TRIBECA,31,WALKER STREET,Manhattan,10013,31 WALKER STREET Manhattan 10013,"31 walker street manhattan, ny 10013",Mexican,7/7/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,7/7/22,12/4/23,40.7192989,-74.00404
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/6/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,6/6/22,12/4/23,40.7304152,-74.002201
MEXICUE,160,8 AVENUE,Manhattan,10011,160 8 avenue Manhattan 10011,"160 8th avenue manhattan, ny 10011",Mexican,6/16/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,6/16/22,12/4/23,40.7421546,-74.000758
QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029,158 east 116 STREET Manhattan 10029,"158 east 116th street manhattan, ny 10029",Mexican,10/5/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,23,B,10/5/23,12/4/23,40.7983713,-73.941066
CHIPOTLE MEXICAN GRILL,165-167,E 116TH ST,Manhattan,10029,165-167 E 116TH ST Manhattan 10029,"165-167 east 116th st manhattan, ny 10029",Mexican,3/16/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,3/16/23,12/4/23,40.7983355,-73.940936
STREET TACO,2672,BROADWAY,Manhattan,10025,2672 BROADWAY Manhattan 10025,"2672 broadway manhattan, ny 10025",Mexican,8/3/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,8/3/22,12/4/23,40.798256,-73.969141
AL HORNO LEAN MEXICAN KITCHEN INC,417,WEST 47 STREET,Manhattan,10036,417 WEST 47 STREET Manhattan 10036,"417 west 47th street manhattan, ny 10036",Mexican,9/19/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,0,A,9/19/22,12/4/23,40.7619248,-73.991062
LOS MARISCOS,409,WEST 15 STREET,Manhattan,10011,409 WEST 15 STREET Manhattan 10011,"409 west 15th street manhattan, ny 10011",Mexican,12/20/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,7,A,12/20/22,12/4/23,40.7419376,-74.005554
