DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
STREET TACO,2672,BROADWAY,Manhattan,10025,2672 BROADWAY Manhattan 10025,"2672 broadway manhattan, ny 10025",Mexican,8/3/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,8/3/22,12/4/23,40.798256,-73.969141
FONDA OF CHELSEA,189,9 AVENUE,Manhattan,10011,189 9 avenue Manhattan 10011,"189 9th avenue manhattan, ny 10011",Mexican,1/23/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,1/23/23,12/4/23,40.7455444,-74.002025
TACO BELL,24,EAST 23 STREET,Manhattan,10010,24 east 23 STREET Manhattan 10010,"24 east 23rd street manhattan, ny 10010",Mexican,11/1/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,11/1/23,12/4/23,40.7407349,-73.987698
DOS TOROS,1,STATE STREET,Manhattan,10004,1 STATE STREET Manhattan 10004,"1 state street manhattan, ny 10004",Mexican,7/25/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,7/25/23,12/4/23,40.7023877,-74.012948
TAQUERIA Y FONDA LA MEXICANA,968,AMSTERDAM AVENUE,Manhattan,10025,968 AMSTERDAM avenue Manhattan 10025,"968 amsterdam avenue manhattan, ny 10025",Mexican,2/8/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,B,2/8/23,12/4/23,40.8014552,-73.964971
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,3/8/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,B,3/8/23,12/4/23,40.7180304,-73.989971
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55th street manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
TULCINGO DEL VALLE,665,10 AVENUE,Manhattan,10036,665 10 avenue Manhattan 10036,"665 10th avenue manhattan, ny 10036",Mexican,2/8/22,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A,2/8/22,12/4/23,40.7626742,-73.993268
LA AVENIDA,2247,1 AVENUE,Manhattan,10029,2247 1 avenue Manhattan 10029,"2247 1st avenue manhattan, ny 10029",Mexican,5/4/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,5/4/22,12/4/23,40.7956072,-73.935705
BIRRIA LES TACOS,34.5,SAINT MARKS PL,Manhattan,,34.5 SAINT MARKS PL Manhattan,"34 1/2 saint marks pl manhattan, ny 10003",Mexican,8/17/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,8/17/22,12/4/23,0,0
MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029,1779 LEXINGTON avenue Manhattan 10029,"1779 lexington avenue manhattan, ny 10029",Mexican,5/8/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,5/8/23,12/4/23,40.795016,-73.944236
TACO BELL,1501,BROADWAY,Manhattan,10036,1501 BROADWAY Manhattan 10036,"1501 broadway manhattan, ny 10036",Mexican,11/22/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,11,A,11/22/23,12/4/23,40.7570962,-73.986193
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
EL TORO MEXICAN GRILL,69,NEW STREET,Manhattan,10004,69 NEW STREET Manhattan 10004,"69 new street manhattan, ny 10004",Mexican,4/13/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A,4/13/23,12/4/23,40.7055003,-74.012396
HAPPY BURRITO,211,EAST 14 STREET,Manhattan,10003,211 east 14 STREET Manhattan 10003,"211 east 14th street manhattan, ny 10003",Mexican,10/20/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,10/20/22,12/4/23,40.7330851,-73.986678
AL HORNO LEAN MEXICAN KITCHEN INC,417,WEST 47 STREET,Manhattan,10036,417 WEST 47 STREET Manhattan 10036,"417 west 47th street manhattan, ny 10036",Mexican,2/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2/28/23,12/4/23,40.7619248,-73.991062
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
CANTINA TAQUERIA & TEQUILA BAR,329,LENOX AVENUE,Manhattan,10027,329 LENOX avenue Manhattan 10027,"329 lenox avenue manhattan, ny 10027",Mexican,1/12/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,21,B,1/12/23,12/4/23,40.8087565,-73.944778
REFRIED BEANS,591,FORT WASHINGTON AVENUE,Manhattan,10033,591 FORT WASHINGTON avenue Manhattan 10033,"591 fort washington avenue manhattan, ny 10033",Mexican,4/13/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A,4/13/23,12/4/23,40.8546638,-73.937036
106 LA CONTENTA,106,NORFOLK STREET,Manhattan,10002,106 NORFOLK STREET Manhattan 10002,"106 norfolk street manhattan, ny 10002",Mexican,4/25/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/25/23,12/4/23,40.718903,-73.987078
EL VEZ,259,VESEY STREET,Manhattan,10282,259 VESEY STREET Manhattan 10282,"259 vesey street manhattan, ny 10282",Mexican,9/30/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/30/22,12/4/23,40.7145494,-74.015702
LA FIESTA RESTAURANT,3789,BROADWAY,Manhattan,10032,3789 BROADWAY Manhattan 10032,"3789 broadway manhattan, ny 10032",Mexican,4/13/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,4/13/23,12/4/23,40.8343457,-73.944677
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
PARADA 47 MEXICAN RESTAURANT,526,WEST 47 STREET,Manhattan,10036,526 WEST 47 STREET Manhattan 10036,"526 west 47th street manhattan, ny 10036",Mexican,9/20/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,9/20/23,12/4/23,40.7633275,-73.994437
CONMIGO,1685,1 AVENUE,Manhattan,10128,1685 1 avenue Manhattan 10128,"1685 1st avenue manhattan, ny 10128",Mexican,4/25/22,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,9,A,4/25/22,12/4/23,40.7778497,-73.948674
QUESADILLAS DONA MATY,228,EAST 116 STREET,Manhattan,10029,228 east 116 STREET Manhattan 10029,"228 east 116th street manhattan, ny 10029",Mexican,10/23/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,25,B,10/23/23,12/4/23,40.7976018,-73.939239
ROSA MEXICANO,9,EAST 18 STREET,Manhattan,10003,9 east 18 STREET Manhattan 10003,"9 east 18th street manhattan, ny 10003",Mexican,3/1/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,3/1/22,12/4/23,40.7382347,-73.991152
ROSA MEXICANO,251,EAST 52 STREET,Manhattan,10022,251 east 52 STREET Manhattan 10022,"251 east 52nd street manhattan, ny 10022",Mexican,7/13/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,7/13/23,12/4/23,40.7565905,-73.968691
FONDA,139,DUANE STREET,Manhattan,10013,139 DUANE STREET Manhattan 10013,"139 duane street manhattan, ny 10013",Mexican,1/26/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/26/23,12/4/23,40.7163124,-74.00777
EL COCO,202,8 AVENUE,Manhattan,10011,202 8 avenue Manhattan 10011,"202 8th avenue manhattan, ny 10011",Mexican,6/3/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,12,A,6/3/23,12/4/23,40.7436038,-73.999697
TAQUERIA GUADALUPE,1743,LEXINGTON AVENUE,Manhattan,10029,1743 LEXINGTON avenue Manhattan 10029,"1743 lexington avenue manhattan, ny 10029",Mexican,2/15/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/15/23,12/4/23,40.7937951,-73.945126
DOS TOROS,1290,AVENUE OF THE AMERICAS,Manhattan,10119,1290 avenue OF THE AMERICAS Manhattan 10119,"1290 avenue of the americas manhattan, ny 10119",Mexican,3/25/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,3/25/22,12/4/23,40.7608501,-73.979717
EMPELLON,230,WEST 4 STREET,Manhattan,10014,230 WEST 4 STREET Manhattan 10014,"230 west 4th street manhattan, ny 10014",Mexican,9/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/27/22,12/4/23,40.7341124,-74.002941
DISFRUTA,510,WEST 207 STREET,Manhattan,10034,510 WEST 207 STREET Manhattan 10034,"510 west 207th street manhattan, ny 10034",Mexican,1/24/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,B,1/24/23,12/4/23,40.8647561,-73.919336
LUCY'S CANTINA ROYALE,1,PENN PLAZA,Manhattan,10119,1 PENN PLAZA Manhattan 10119,"1 penn plaza manhattan, ny 10119",Mexican,11/15/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,11/15/22,12/4/23,40.7510913,-73.992926
LOLITAS KITCHEN & BURGER HOUSE,1364,LEXINGTON AVENUE,Manhattan,10128,1364 LEXINGTON avenue Manhattan 10128,"1364 lexington avenue manhattan, ny 10128",Mexican,8/31/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,A,8/31/22,12/4/23,40.7822022,-73.953621
CAZUELA MEXICANA,207,EAST 117 STREET,Manhattan,10035,207 east 117 STREET Manhattan 10035,"207 east 117th street manhattan, ny 10035",Mexican,8/23/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,B,8/23/23,12/4/23,40.7984444,-73.939083
TACO ZONE,1750,1 AVENUE,Manhattan,10128,1750 1 avenue Manhattan 10128,"1750 1st avenue manhattan, ny 10128",Mexican,8/22/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,25,B,8/22/23,12/4/23,40.7798335,-73.947199
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
MOLE CANTINA MEXICANA,1735,2 AVENUE,Manhattan,10128,1735 2 avenue Manhattan 10128,"1735 2 avenue manhattan, ny 10128",Mexican,5/18/22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,5/18/22,12/4/23,40.7802437,-73.95003
TACO ZONE,1750,1 AVENUE,Manhattan,10128,1750 1 avenue Manhattan 10128,"1750 1st avenue manhattan, ny 10128",Mexican,8/22/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25,B,8/22/23,12/4/23,40.7798335,-73.947199
QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029,158 east 116 STREET Manhattan 10029,"158 east 116th street manhattan, ny 10029",Mexican,10/5/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23,B,10/5/23,12/4/23,40.7983713,-73.941066
LA LOTERIA,29,7 AVENUE SOUTH,Manhattan,10014,29 7 avenue SOUTH Manhattan 10014,"29 7th avenue south manhattan, ny 10014",Mexican,4/12/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,4/12/23,12/4/23,40.7308049,-74.004395
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,11/2/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,11/2/23,12/4/23,40.7337417,-73.992957
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,3/8/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,B,3/8/23,12/4/23,40.7180304,-73.989971
TAKUMI TACO,570,LEXINGTON AVENUE,Manhattan,10022,570 LEXINGTON avenue Manhattan 10022,"570 lexington avenue manhattan, ny 10022",Mexican,4/29/22,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,4/29/22,12/4/23,40.756918,-73.972066
LA COVACHA,368,COLUMBUS AVENUE,Manhattan,10024,368 COLUMBUS avenue Manhattan 10024,"368 columbus avenue manhattan, ny 10024",Mexican,1/12/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,1/12/22,12/4/23,40.7809356,-73.976233
CONMIGO,1685,1 AVENUE,Manhattan,10128,1685 1 avenue Manhattan 10128,"1685 1st avenue manhattan, ny 10128",Mexican,4/25/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/25/22,12/4/23,40.7778497,-73.948674
EL TORO MEXICAN GRILL,69,NEW STREET,Manhattan,10004,69 NEW STREET Manhattan 10004,"69 new street manhattan, ny 10004",Mexican,3/24/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,3/24/22,12/4/23,40.7055003,-74.012396
MADE IN MEXICO,3950,10 AVENUE,Manhattan,10034,3950 10 avenue Manhattan 10034,"3950 10th avenue manhattan, ny 10034",Mexican,3/10/22,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,11,A,3/10/22,12/4/23,40.8671176,-73.916983
MAZ MEZCAL,316,EAST 86 STREET,Manhattan,10028,316 east 86 STREET Manhattan 10028,"316 east 86th street manhattan, ny 10028",Mexican,3/10/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,3/10/22,12/4/23,40.7775955,-73.951122
SABOR A MEXICO,1744,FIRST AVENUE,Manhattan,10128,1744 FIRST avenue Manhattan 10128,"1744 first avenue manhattan, ny 10128",Mexican,4/25/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10,A,4/25/23,12/4/23,40.7796441,-73.947337
LA PALAPA,77,ST MARKS PLACE,Manhattan,10003,77 ST MARKS PLACE Manhattan 10003,"77 saint marks place manhattan, ny 10003",Mexican,5/30/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,9,A,5/30/23,12/4/23,40.727837,-73.985864
345 Cantina,345,EAST 6 STREET,Manhattan,10003,345 east 6 STREET Manhattan 10003,"345 east 6th street manhattan, ny 10003",Mexican,1/21/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,1/21/23,12/4/23,40.7269369,-73.98743
HOMEMADE TAQUERIA,999,COLUMBUS AVENUE,Manhattan,10025,999 COLUMBUS avenue Manhattan 10025,"999 columbus avenue manhattan, ny 10025",Mexican,8/1/22,Violations were cited in the following area(s).,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical,20,B,8/1/22,12/4/23,40.8012564,-73.961392
TITO MURPHY'S,346,WEST 46 STREET,Manhattan,10036,346 WEST 46 STREET Manhattan 10036,"346 west 46th street manhattan, ny 10036",Mexican,1/11/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,1/11/22,12/4/23,40.7603519,-73.989286
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
TACOS GRAND CENTRAL,711,2 AVENUE,Manhattan,10016,711 2 avenue Manhattan 10016,"711 2nd avenue manhattan, ny 10016",Mexican,6/5/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,6/5/23,12/4/23,40.7474875,-73.973921
TAQUERIA Y FONDA LA MEXICANA,968,AMSTERDAM AVENUE,Manhattan,10025,968 AMSTERDAM avenue Manhattan 10025,"968 amsterdam avenue manhattan, ny 10025",Mexican,2/8/23,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,27,B,2/8/23,12/4/23,40.8014552,-73.964971
OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014,113 7 avenue SOUTH Manhattan 10014,"113 7th avenue south manhattan, ny 10014",Mexican,4/18/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11,A,4/18/23,12/4/23,40.7338791,-74.002634
EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011,11 WEST 8 STREET Manhattan 10011,"11 west 8th street manhattan, ny 10011",Mexican,5/31/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,5/31/23,12/4/23,40.7325204,-73.996973
FACTORY TAMAL,63,EAST 4 STREET,Manhattan,10003,63 east 4 STREET Manhattan 10003,"63 east 4th street manhattan, ny 10003",Mexican,4/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/3/23,12/4/23,40.7267177,-73.990663
LA CONTENTA OESTE,78,WEST 11 STREET,Manhattan,10011,78 WEST 11 STREET Manhattan 10011,"78 west 11th street manhattan, ny 10011",Mexican,3/2/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13,A,3/2/22,12/4/23,40.7349743,-73.997326
EL MITOTE,208,COLUMBUS AVENUE,Manhattan,10023,208 COLUMBUS avenue Manhattan 10023,"208 columbus avenue manhattan, ny 10023",Mexican,4/18/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,4/18/22,12/4/23,40.7757926,-73.979987
ARRIBA ARRIBA,762,9 AVENUE,Manhattan,10019,762 9 avenue Manhattan 10019,"762 9th avenue manhattan, ny 10019",Mexican,8/2/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,21,B,8/2/22,12/4/23,40.7641972,-73.988416
PINK TACO,7,TIMES SQUARE,Manhattan,10036,7 TIMES SQUARE Manhattan 10036,"7 times square manhattan, ny 10036",Mexican,8/23/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A,8/23/23,12/4/23,40.7559078,-73.986681
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/6/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,6/6/22,12/4/23,40.7304152,-74.002201
MAMASITA BAR,818,10 AVENUE,Manhattan,10019,818 10 avenue Manhattan 10019,"818 10th avenue manhattan, ny 10019",Mexican,8/4/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8/4/22,12/4/23,40.7674169,-73.98978
QUESADILLAS DE MATY,2141,2 AVENUE,Manhattan,10029,2141 2 avenue Manhattan 10029,"2141 2nd avenue manhattan, ny 10029",Mexican,8/16/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/16/22,12/4/23,40.7932795,-73.940504
ANEJO,668,10 AVENUE,Manhattan,10036,668 10 avenue Manhattan 10036,"668 10th avenue manhattan, ny 10036",Mexican,1/18/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9,A,1/18/23,12/4/23,40.762773,-73.993174
EL PARADOR CAFE,325,EAST 34 STREET,Manhattan,10016,325 east 34 STREET Manhattan 10016,"325 east 34th street manhattan, ny 10016",Mexican,3/30/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,B,3/30/23,12/4/23,40.7443476,-73.974846
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/6/22,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,6/6/22,12/4/23,40.7304152,-74.002201
SAN LOCO,111,STANTON STREET,Manhattan,10002,111 STANTON STREET Manhattan 10002,"111 stanton street manhattan, ny 10002",Mexican,7/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,0,A,7/27/22,12/4/23,40.7210933,-73.987366
TAQUERIA Y FONDA LA MEXICANA,968,AMSTERDAM AVENUE,Manhattan,10025,968 AMSTERDAM avenue Manhattan 10025,"968 amsterdam avenue manhattan, ny 10025",Mexican,2/8/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,27,B,2/8/23,12/4/23,40.8014552,-73.964971
